"","ID","PCK1","HPD","DPYS","GSTA1","group"
"1","DM1-001",-1.08409978137769,-1.1063499084217,-0.776619674201366,-0.870302941330889,"DM1"
"2","DM1-003",-0.965927398816053,-0.780054055699373,-0.823979637063554,-0.797838864960133,"DM1"
"3","DM1-005",-0.92554547737933,-0.789109975206826,-0.595543556492454,-0.759901627584988,"DM1"
"4","DM1-013",-0.318351385929901,-0.510219244794172,-0.332581995111451,-0.672759048161333,"DM1"
"5","DM1-014",-0.570924481806434,-0.888159205430292,-0.36619431891591,-0.711203951400959,"DM1"
"6","DM1-038",-0.879549256009764,-0.768430640544972,-0.932127521467789,-0.794573613675368,"DM1"
"7","DM1-039",-0.76580374982206,-0.757843426459871,-1.00599732222439,-0.808493613233429,"DM1"
"8","DM1-040",-0.892732927031054,-0.665249289404956,-0.57322174525503,-0.563192650096962,"DM1"
"9","DM1-042",-0.914464820041662,-0.776081214195696,-0.858848808849899,-0.795120596512147,"DM1"
"10","DM1-047d",-0.599548527771925,-0.686641746757025,-0.752940971240363,-0.519803498469425,"DM1"
"11","DM1-048",-0.622946511326063,-0.806003621675129,-0.81293828159795,-0.589150227025852,"DM1"
"12","DM1-056",-0.257293713272337,-0.947292277383115,-0.644833544066175,-0.653961115152162,"DM1"
"13","DM1-058",-0.900059854138673,-0.581314053172813,-0.789578082369777,-0.797716164948485,"DM1"
"14","DM1-061",-0.942238555616885,-1.0331671829098,-1.07376131576064,-0.693332293688827,"DM1"
"15","DM1-067",-0.713951960688184,-0.914789543415141,-0.945784775078531,-0.308264193462495,"DM1"
"16","DM1-068",-0.570005509422406,-0.790958501281779,-0.86755459933696,-0.719913707666319,"DM1"
"17","DM1-UPMC-001 (-072)",-0.406829192229322,-0.488146197571967,-0.708038447886622,-0.765950416632457,"DM1"
"18","DM1-UPMC-003 (-076)",-0.614341542541493,-0.311676087140088,-0.694381524893022,-0.770780780036761,"DM1"
"19","UA-003",2.7914056890209,1.39419989338808,1.85442492598293,2.64532432157951,"UA"
"20","UA-011",-0.0520425591497992,0.176127396269332,-0.246756047654581,0.00766838432969192,"UA"
"21","UA-027",1.790616452052,2.06349198628009,1.66654345917827,1.85064959958153,"UA"
"22","UA-040",0.842004202187107,1.08905298412989,0.293123392665847,0.423219002971138,"UA"
"23","UA-055",-0.0945019394219517,0.460779764480788,0.317433180897226,0.0589040990301199,"UA"
"24","UA-058",2.11225553377291,1.17241510943756,2.13852771506887,3.01177284942723,"UA"
"25","UA-059",-0.0695095484272294,-0.307361132040158,-0.234082348615781,0.268297336657575,"UA"
"26","UA-060",-0.47473052137915,-0.454116463671256,-0.751321554420317,-0.380848907797656,"UA"
"27","UA-061",1.94938596795817,1.18485070211668,1.78591887546951,2.08186713018338,"UA"
"28","UA-067",0.069790495787457,0.60255466484085,0.713307909796881,0.0722104457986272,"UA"
"29","UA-075",0.905361435375422,-0.134435602950288,0.765799053227426,-0.0176515131846104,"UA"
"30","UA-BCH-005 (078)",-0.301412530181787,0.429164275834892,-0.254567537627224,0.0688989852065287,"UA"
"31","UA-083",1.2650283860466,2.69952270325985,2.19798223127547,0.970484503189191,"UA"
"32","UA-085 (EIM)",-0.114947226624475,-0.331872315544223,-0.100795244309079,-0.519919203898643,"UA"
"33","UA-WF-003 (-088)",0.107922368084383,-0.183573156110418,0.342959909232884,0.709739951983411,"UA"
"34","UA-UTSW-001 (-089)",-0.366126795458622,0.133639731607635,-0.0752571907649108,0.235189637146638,"UA"
"35","UA-WF-002 (-091)",1.24731246498862,1.44182194983366,1.68941888567834,0.906872746657988,"UA"
"36","UA-097 (EIM)",0.226481596555697,0.103688988763096,0.378587277895617,-0.0197318427027271,"UA"
"37","UA-098 (EIM)",1.11032117403498,2.06153469153866,1.07367922883451,0.219311777880073,"UA"
"38","DM1-002",-0.97516121458249,-1.16108290110649,-0.985647732599273,-0.855314643753198,"DM1"
"39","DM1-024",-0.783529668089281,-0.944538808976532,-0.838460270111141,-0.786265231155993,"DM1"
"40","DM1-032",-0.573061429171658,-0.486755768252468,-0.45766793326044,-0.623019621614809,"DM1"
"41","DM1-041",-0.387833481820763,-0.611757318023924,-0.627464748769888,-0.665558055796655,"DM1"
"42","DM1-055",-0.959673402290584,-0.701132781853774,-0.922316194059216,-0.995453696965736,"DM1"
"43","DM1-WF-004 (-079)",-0.677505284369883,-0.928438357989232,-0.852586225796633,-0.94492777809282,"DM1"
"44","UA-056",-0.0692499756744343,-0.185119863702732,0.0830856468291029,1.26020551867758,"UA"
"45","UA-076",2.03975935914541,1.30122270799369,2.37790461488659,1.17231464917447,"UA"
"46","UA-BCH-006 (-079)",1.78359247530859,1.97921547221665,0.982114360761647,1.95694658682995,"UA"
"47","UA-087 (EIM)",-0.0269791211592507,0.31775021693217,0.465842438376188,-0.0071017187571284,"UA"
"48","UA-UPMC-001 (-092)",0.19077844156847,0.852014639951686,0.413910661508986,0.134543816491634,"UA"
"49","UA-095 (EIM)",0.438863301135874,0.568622762810962,0.361285382234081,0.3536301749627,"UA"
