gene_exp,PC,contribution
PCK1,Dim.1,17.113887437068534
HPD,Dim.1,14.956200123096457
DPYS,Dim.1,16.674217799711073
GSTA1,Dim.1,16.454257282176602
KRT20,Dim.1,5.7289792676221465
HPGD,Dim.1,3.0109823626673893
PIGT,Dim.1,10.71222956510853
BIN1,Dim.1,15.349246162549266
PCK1,Dim.2,1.7160672639600993
HPD,Dim.2,4.393868462411546
DPYS,Dim.2,3.2652305260923495
GSTA1,Dim.2,2.337575153344813
KRT20,Dim.2,32.08811253294192
HPGD,Dim.2,54.21975395540131
PIGT,Dim.2,0.9539137736194427
BIN1,Dim.2,1.0254783322285177
PCK1,Dim.3,1.4245642074490408
HPD,Dim.3,11.114918470003019
DPYS,Dim.3,3.459330190055285
GSTA1,Dim.3,0.08983629804020335
KRT20,Dim.3,22.479886249945082
HPGD,Dim.3,6.164832978401725
PIGT,Dim.3,47.04747665498083
BIN1,Dim.3,8.219154951124821
PCK1,Dim.4,5.24103563475095
HPD,Dim.4,0.005461991906134978
DPYS,Dim.4,2.2298236473587036
GSTA1,Dim.4,0.6056251102959331
KRT20,Dim.4,35.94715366483793
HPGD,Dim.4,20.5733983071095
PIGT,Dim.4,32.47869690551063
BIN1,Dim.4,2.9188047382302265
